,"('R1', 'ResDam_AgType')","('R2', 'ResDam_AgType')","('R3', 'ResDam_AgType')","('Kittitas', 'IrrDiv_AgType')","('Tieton', 'IrrDiv_AgType')","('Roza', 'IrrDiv_RWS_AgType')","('Wapato', 'IrrDiv_RWS_AgType')","('Sunnyside', 'IrrDiv_RWS_AgType')"
L_U,,,,"[25,50]","[25,50]","[25,50]","[25,50]","[25,50]"
L_L,,,,"[0,15]","[0,15]","[0,15]","[0,15]","[0,15]"
Lr_c,,,,"[0,1]","[0,1]","[0,1]","[0,1]","[0,1]"
Sig,,,,"[0,1.2]","[0,0.5]","[0,1.5]","[0,2]","[0,1.2]"
a,,,,"[-27,-7]","[-8.5,11.5]","[-24,-4]","[-16,4]","[-16,4]"
b,,,,"[22,42]","[-12,7]","[18,38]","[5,25]","[2,22]"
c,,,,"[-24,-4]","[-10,10]","[-25,-5]","[-20,0]","[-17,3]"
ProratedRatio,,,,"[0.4,1]","[0.4,1]","[0.4,1]","[0.4,1]","[0.4,1]"
