,Kittitas,Roza,Wapato,Sunnyside,Tieton
1949-01-01,11.000668367284927,10.93526808777533,24.625105955227408,18.254358443046574,3.923008225339725
1950-01-01,10.675451318999993,12.14932381024931,24.250858092410976,18.61309022531505,3.737513482389037
1951-01-01,11.656765833254786,12.29486464578903,24.339144590728747,18.501374445369883,3.9989206494205467
1952-01-01,12.596819019540977,13.20176280831967,25.684695492385288,18.49647161827869,4.0528680689836065
1953-01-01,11.340858433298628,12.327060512926034,24.987639177230143,18.38647786891232,4.000743788884927
1954-01-01,11.586555568775347,13.051195992098632,25.484386495972565,18.57065374501641,3.9773920876602746
1955-01-01,11.691677014487665,13.406669397452044,24.920687289665757,18.200672804350692,3.9372054390410995
1956-01-01,10.55289971886886,13.234334919213113,24.392487900598393,17.78800886423771,3.5037069214262297
1957-01-01,11.635819124515066,13.893176103032891,23.88568713671506,16.740609624789048,3.7563655202547968
1958-01-01,11.50959580925754,13.739799646816433,23.97335299181097,16.93595707888767,3.7433242545542447
1959-01-01,11.519758842016438,14.133132288706861,24.98251887064933,17.710131917827376,3.8014009440452106
1960-01-01,12.456704784795082,14.618146737360654,24.32355262552459,17.41973511636885,3.719023274434422
1961-01-01,11.957312313468503,14.056172529189054,23.95062193380822,17.305472537136986,3.539854132288767
1962-01-01,12.08058757342192,13.680070494747135,24.461876787863034,17.81230530823562,3.8360561099490464
1963-01-01,11.83822639526302,13.327475322335342,22.985832045337002,16.640686066060287,3.667427346553972
1964-01-01,12.841380640762297,13.746204481377049,25.742257607598397,18.026303642270484,4.122074133577873
1965-01-01,12.922722845161646,13.882470007454792,25.524883466202745,18.1102916351589,3.7797094634391826
1966-01-01,12.877803791975344,14.64617149202467,25.111767821613658,18.001834232128772,3.820493481159449
1967-01-01,12.621943623739716,14.53911053624383,25.69649131706298,17.894773276347948,3.7951634796649283
1968-01-01,12.299492126040986,14.545961988040993,25.534832834901586,17.597527778680355,4.088565864627874
1969-01-01,12.028919025197272,13.74585091823013,24.34077377918635,16.814078266183557,3.7348447165347918
1970-01-01,13.139947972832886,14.44073858556987,24.793377848769858,17.128511638487687,3.967477312190134
1971-01-01,12.315190711306853,14.176810055449339,24.783757878830208,17.144493201452065,3.8332166672087697
1972-01-01,11.244418785770494,14.418226702803281,25.19619119741805,17.49083670760658,3.6801378992918057
1973-01-01,11.904945541619176,12.877571050767122,25.771046084095907,16.361396616197265,4.205548294077534
1974-01-01,12.564999608128772,14.707537590591802,24.03169345467125,17.158069771931462,3.665324917639729
1975-01-01,11.989818502216442,14.285034717271255,24.09794711861097,17.025019381232877,3.71073272736329
1976-01-01,12.502816371713104,14.659616218213127,26.30766612638523,17.334707206934446,3.932150100748362
1977-01-01,9.270780546994525,9.820748022016444,23.356743950835625,14.63748248691779,3.798103776928766
1978-01-01,11.414714976706849,13.7305675788904,23.346968820090403,15.750994007441118,3.5237794728410985
1979-01-01,8.765809705561646,11.017425734276715,20.904660161441093,15.227403869350692,3.911526325734248
1980-01-01,11.530759361581964,13.698622894204926,23.905298869016395,16.560790757368853,2.921818926106558
1981-01-01,12.050874279172604,13.20992549610411,24.167614320271216,16.51896241416165,3.866452111742463
1982-01-01,12.13279918446576,13.44887313654248,23.735025994594537,16.397859405484922,3.601980518802742
1983-01-01,12.176632112013692,13.204882769926025,22.92438836636713,16.539210899276714,3.3341729685452064
1984-01-01,12.8812253844918,13.917962405803275,23.76750568730329,16.417272311508203,3.547652192180328
1985-01-01,13.422107897597263,13.745540596619172,23.667918946224667,17.593218250898637,3.520055613509592
1986-01-01,12.26009698830124,12.803536848236622,23.141687971224986,16.522686273493154,2.8857427246290395
1987-01-01,10.816104589167125,11.659636308156161,21.858511213126047,16.057514178665766,3.5121424124301366
1988-01-01,11.964409436540977,13.48879970004097,24.373300528860703,16.09820488793442,3.145181596295081
1989-01-01,13.91978618117261,13.537547536873966,23.796935155980833,17.343331773673967,3.019118953019177
1990-01-01,14.209789484653964,14.042130476293144,26.067713544172616,18.026815121810955,3.140516767226302
1991-01-01,14.019709739901362,14.798229081394526,24.872354698758933,17.98484412392877,3.2577562718465756
1992-01-01,9.563280074122954,9.862618546918034,21.14688207641804,15.466723726147542,3.289164252762296
1993-01-01,10.361483429112328,9.46938637800822,18.606030408665756,14.821580782619176,2.8745090823123283
1994-01-01,7.081771903290413,6.498910337506858,17.524947496487663,14.036389526490412,3.301123716978083
1995-01-01,12.518606527290412,12.715117687430144,21.387055105676712,16.678933204610956,2.9800184300383568
1996-01-01,12.84486222031148,12.898323808499997,21.499217926795083,17.058115053860643,3.43229585645082
1997-01-01,12.550336912010955,12.407588970969828,22.004284789873964,16.83595593975615,3.0609347900958928
1998-01-01,13.442821865128767,12.516899758430148,22.000793671750696,16.885219495495885,3.281340714279454
1999-01-01,12.211000230427398,12.34738657844385,22.856195192358914,17.50656094103834,3.4457335876849338
2000-01-01,13.793708700114744,12.379800560975394,21.805055348081968,17.406118271909836,3.2836633570745875
2001-01-01,7.8761952273452005,6.531261365449318,15.854796586306845,13.576725640257525,2.954804799147947
2002-01-01,12.75491643403561,11.365296260161646,20.893178261835615,17.110435404649323,2.8525538283369865
2003-01-01,12.542966773750683,11.19361082889863,20.524748929224664,16.253249534778078,2.993129518101369
2004-01-01,12.463822680762291,10.824153449967222,19.759898152459012,15.896118537213113,2.8154373287704932
2005-01-01,7.767650934263994,7.545392390063011,16.7730382331342,13.011283978105153,2.9453399900136974
2006-01-01,12.284003389405477,11.098264513931506,20.475950855901363,15.565266523282181,2.869699097342463
