,Kittitas,Roza,Wapato,Sunnyside,Tieton
1949-01-01,0.0,0.0,0.0,0.0,0.0
1949-02-01,0.0,0.0,0.0,0.0,0.06876948557142858
1949-03-01,0.0,3.761573417612903,2.2151081927419356,3.351435859451613,0.2612457497419355
1949-04-01,1.8037831539,18.66174606789999,23.656837878699996,27.625915933199995,1.5489315309
1949-05-01,19.129400318516126,22.60049769270967,58.66154562387095,35.414327683548386,8.399142198870967
1949-06-01,25.445518714200002,23.895643288400006,55.4075745249,35.97938579819999,9.377595831499999
1949-07-01,31.308384868548387,23.513944370129032,55.966877925483885,36.46479136258065,9.38292427045161
1949-08-01,26.57125039945161,18.346576515967744,48.61363217225806,35.94869398983871,9.358261210161292
1949-09-01,19.6113043373,12.790719789899999,38.830892291099985,29.154081776300004,7.878690730299999
1949-10-01,7.165989184354839,6.9686847020322595,10.391369402322582,13.9839551846129,0.0
1949-11-01,0.0,0.0,0.0,0.0,0.5455712521999999
1949-12-01,0.0,0.0,0.0,0.0,0.0
1950-01-01,0.0,0.0,0.0,0.0,0.0
1950-02-01,0.0,0.0,0.0,0.0,0.021237635249999998
1950-03-01,0.0,4.5736275138387095,4.4539659990967735,6.166678519258064,0.3005239568709678
1950-04-01,0.2019935086,13.868647765699999,23.827682855600003,26.8207735835,0.424752705
1950-05-01,16.410069559838707,22.261608975387098,58.94471409387096,35.17226431403225,6.670901085193548
1950-06-01,17.964207736799995,24.37136631800001,50.00283232749999,37.02427745249999,8.286453327099998
1950-07-01,30.5675796131613,26.323706349870957,54.56473727564513,36.83473726693548,9.408500777419354
1950-08-01,31.89755797548387,24.511428141870965,48.79906184777418,35.72033232048388,9.613112833161289
1950-09-01,24.737597539200003,19.8991922818,38.5467799262,30.920109134200004,9.3860908856
1950-10-01,5.299817622387097,9.11437094729032,10.019596604612902,13.55189490619355,0.0
1950-11-01,0.0,0.0,0.0,0.0,0.49648871739999995
1950-12-01,0.0,0.0,0.0,0.0,0.0
1951-01-01,0.0,0.0,0.0,0.0,0.0
1951-02-01,0.0,0.0,0.0,0.0,0.40907730755357147
1951-03-01,0.0,4.220123649677419,1.690789799903226,4.933525504741936,0.14889180841935482
1951-04-01,6.001283774200001,17.279883934300003,32.65121238080001,28.445216706399993,2.4899947462
1951-05-01,17.39019784470968,26.309091203032253,57.03287019803224,36.26200620019355,8.269432770677417
1951-06-01,25.3586803834,24.21845534419999,48.2103759124,36.49097683399998,8.4450276703
1951-07-01,30.704596614774196,27.481956736838722,53.25668163358061,36.04460589096773,9.359174656838707
1951-08-01,31.588812998516136,23.38423494193549,49.00732769022579,36.00806802387097,9.534556418903223
1951-09-01,20.350374043999995,15.375104026100002,39.59639105500002,29.13425998340001,8.6715624463
1951-10-01,7.5231468352258055,8.327893358032263,9.013891812774192,13.554635246225805,0.0
1951-11-01,0.0,0.0,0.0,0.0,0.44268670809999994
1951-12-01,0.0,0.0,0.0,0.0,0.0
1952-01-01,0.0,0.0,0.0,0.0,0.0
1952-02-01,0.0,0.0,0.0,0.0,0.277309812
1952-03-01,0.0,4.37358269148387,2.8508670802258065,4.907948997774192,0.3580710975483871
1952-04-01,7.851317778199999,20.436268479899997,41.425659371200005,28.093143908700004,1.9529185480999998
1952-05-01,23.487454416483864,27.547724897612916,58.003864016129036,36.300370960645154,7.792613605064514
1952-06-01,27.756173429400004,27.84584344489999,52.480556439999994,36.906290590000005,9.350222879400002
1952-07-01,30.467100478645147,26.524664618903227,52.54693356522579,36.670316865,9.559219479193546
1952-08-01,30.28167080312903,24.437438960999994,49.22016076606454,34.53285163983871,9.69166924741935
1952-09-01,24.173148388999998,16.153817318599994,39.36136122489999,30.049838036400004,9.102922415600002
1952-10-01,6.635276664774194,10.625211751741936,11.654666157193551,13.983041737935482,0.0
1952-11-01,0.0,0.0,0.0,0.0,0.4275843897
1952-12-01,0.0,0.0,0.0,0.0,0.027403400322580644
1953-01-01,0.0,0.0,0.0,0.0,0.0
1953-02-01,0.0,0.0,0.0,0.0,0.3954245420357143
1953-03-01,0.0,6.897435861193547,7.38978362032258,8.649426588483871,0.9883493049677415
1953-04-01,5.7643661543,16.482292743800006,38.96964484139999,26.882126752,2.0926149933000002
1953-05-01,16.810159204548388,21.088743441580647,52.215352421322606,34.58583154712905,6.707438952290322
1953-06-01,19.9671527146,22.792230150299996,50.6352419105,34.999622891999984,8.0787964491
1953-07-01,31.311125208580656,29.418463692967737,55.43707885258065,36.37527358819354,9.647823806903224
1953-08-01,30.28258424980645,24.801904185290322,48.51315303774194,35.57783463880645,9.767485321645166
1953-09-01,25.156686874799995,16.772068478100003,35.089292907499996,29.2966099062,9.570150391099997
1953-10-01,5.878942815870965,8.696012369032257,9.982145290838709,13.060460593741936,0.0
1953-11-01,0.0,0.0,0.0,0.0,0.5502907267
1953-12-01,0.0,0.0,0.0,0.0,0.0
1954-01-01,0.0,0.0,0.0,0.0,0.0
1954-02-01,0.0,0.0,0.0,0.0,0.10416554432142856
1954-03-01,0.0,5.006601238935485,4.4585332324838705,6.776860899774192,0.40922411148387117
1954-04-01,5.470814840399999,17.2015406576,37.15642273850001,29.488220570900005,1.6159480688
1954-05-01,22.447952097580643,26.34197528341936,56.17697066129031,35.642689352903226,7.784392584967741
1954-06-01,22.12772814069999,25.639961063599994,54.20599631719998,35.792494608000005,9.2869819211
1954-07-01,28.906020106935483,28.239204032419355,54.277915018935474,35.132986106903225,9.614026279838708
1954-08-01,30.403159211225802,26.39312829735484,50.17197220393547,35.64725658629032,9.785754255193554
