,R1,R2,R3
1949-01-01,19.85124242088,3.7284792444899995,7.32217029726
1949-01-02,14.00721153702,5.09929780776,6.00798542799
1949-01-03,11.84805195327,4.2427131860100005,4.52248363437
1949-01-04,9.205240622760002,4.2427131860100005,4.1815487964899996
1949-01-05,9.072151441859999,4.64169756024,4.92486603024
1949-01-06,11.50853295774,4.72778077512,5.06758293912
1949-01-07,15.288548863770005,4.67114708112,5.55350003364
1949-01-08,17.977799823359998,4.015045736129999,5.69650011099
1949-01-09,14.84397436587,4.445744979,5.583232722989999
1949-01-10,14.05336799763,4.07536062024,4.9565808988799995
1949-01-11,14.14398190803,3.7896436340100004,4.38543009489
1949-01-12,15.234463686,2.87642531826,4.18721216589
1949-01-13,12.99856544688,2.3927735715,4.88239075974
1949-01-14,14.74260005361,1.62340483851,5.25617314014
1949-01-15,14.545231630020005,0.94040248887,5.25617314014
1949-01-16,14.11679773491,0.96985200975,5.11345623126
1949-01-17,15.058616066129998,1.17288380274,4.71588769938
1949-01-18,16.452088106999998,0.8330816387400001,5.009816571239999
1949-01-19,13.548478615619999,0.69149740374,4.9271313779999995
1949-01-20,11.78122419435,0.57823001574,4.9271313779999995
1949-01-21,11.901287625630001,0.57823001574,4.9271313779999995
1949-01-22,11.15825356035,0.66431323062,4.9271313779999995
1949-01-23,10.76153453388,0.43664578074,4.9271313779999995
1949-01-24,9.568545769770001,0.43664578074,4.64169756024
1949-01-25,10.030110375869999,0.35169523974,4.78441446912
1949-01-26,9.57704082387,0.63826173138,4.64169756024
1949-01-27,9.46235759352,0.63826173138,4.64169756024
1949-01-28,9.633674517869999,0.63826173138,4.78441446912
1949-01-29,9.37655754711,0.63826173138,4.35598057401
1949-01-30,9.37627437864,0.5816280373799999,4.49869748289
1949-01-31,9.00589001988,0.69602809926,4.78441446912
1949-02-01,8.292022307009999,0.55331119038,4.35598057401
1949-02-02,8.26370546001,0.49667749637999997,4.2132636651299995
1949-02-03,7.69255465602,0.49667749637999997,4.78441446912
1949-02-04,10.49025913962,0.55331119038,4.64169756024
1949-02-05,11.20412685249,0.63826173138,4.49869748289
1949-02-06,10.77597612585,0.72321227238,4.64169756024
1949-02-07,13.11692986734,0.66657857838,4.78441446912
1949-02-08,14.171449249619998,0.66657857838,5.49828218199
1949-02-09,18.356396067749998,0.66657857838,5.49828218199
1949-02-10,23.30023438548,1.2057313452599998,7.63960215213
1949-02-11,13.50487067124,0.46836064937999994,5.21256519576
1949-02-12,11.877784642619998,0.55699238049,4.64169756024
1949-02-13,11.22168329763,1.49966021712,4.9271313779999995
1949-02-14,13.96247091876,2.64167865663,4.9271313779999995
1949-02-15,23.413218605009995,2.67112817751,5.92643290863
1949-02-16,42.8575479345,2.8424451018599997,8.210752956119999
1949-02-17,48.62512333146,2.84102925951,9.35277139563
1949-02-18,41.429812508759994,3.12674624574,9.49548830451
1949-02-19,38.31750785498999,2.75494604463,8.210752956119999
1949-02-20,28.63796004498,2.84102925951,6.21214989486
1949-02-21,26.46804005937,3.04066303086,9.32105652699
1949-02-22,31.321830803639997,3.21169678674,8.041984548
1949-02-23,25.439289007859998,3.6103979925,7.75655073024
1949-02-24,22.950804493499998,3.7531149013799996,7.89926763912
1949-02-25,22.64526571437,4.661802521609999,8.47013527464
1949-02-26,17.991958246859998,5.97004085301,5.18679686499
1949-02-27,17.24949051852,6.623876850239999,7.75655073024
1949-02-28,15.993072017129998,6.82322745312,7.32811683513
1949-03-01,16.96065867912,6.965944362,7.32811683513
1949-03-02,21.20337186513,7.25137817976,6.75696603114
1949-03-03,18.40226935989,7.10866127088,7.04268301737
1949-03-04,17.40410050314,7.82252898375,7.55351893725
1949-03-05,18.34818418212,7.25137817976,8.041984548
1949-03-06,17.40664901937,7.53709516599,7.470833744009999
1949-03-07,18.836649792870002,8.194329184859999,8.041984548
1949-03-08,21.236502576119992,7.48046147199,7.75655073024
1949-03-09,21.426508619489997,7.48046147199,8.755852260869998
1949-03-10,22.33378039737,6.8526769739999995,7.61355065289
1949-03-11,17.908140379739997,6.28152617001,7.61355065289
1949-03-12,20.021143502879998,5.710658534489999,7.61355065289
1949-03-13,21.734595914849997,5.710658534489999,7.61355065289
1949-03-14,20.877728124630003,5.85337544337,7.61355065289
1949-03-15,22.24996253025,5.56794162561,6.899966108489999
1949-03-16,21.96566138637,5.33999100726,7.61355065289
1949-03-17,16.54071983811,4.6264064628599995,7.18539992625
1949-03-18,20.96494401339,4.769123371739999,7.61355065289
1949-03-19,28.0478369535,5.33999100726,8.755852260869998
1949-03-20,31.615759675499998,5.197274098379999,10.18330451814
1949-03-21,38.15327014238999,4.769123371739999,10.011138088380001
1949-03-22,35.86923326337,4.34068947663,11.010439619009999
1949-03-23,34.58563058886,3.3413879459999998,9.8684211795
1949-03-24,33.61436273676,3.3413879459999998,9.72570427062
1949-03-25,34.87106440662,3.1986710371199996,9.58298736174
1949-03-26,33.41614480776,3.3413879459999998,9.58298736174
1949-03-27,33.300612072,3.3413879459999998,9.72570427062
1949-03-28,29.474439705360002,3.4263384869999998,9.43998728439
1949-03-29,24.45046471062,3.3413879459999998,9.29727037551
1949-03-30,22.853960876760002,3.3413879459999998,7.584101132009999
1949-03-31,26.0005289154,3.48410485488,9.15455346663
1949-04-01,23.197161062399996,3.3413879459999998,8.869119648869999
1949-04-02,19.26281834022,3.3413879459999998,8.869119648869999
1949-04-03,23.518274107379998,3.3413879459999998,8.440685753759999
1949-04-04,25.49110883787,3.3413879459999998,10.011138088380001
1949-04-05,28.831364109989998,3.48410485488,11.152023854009999
1949-04-06,43.33298779563,3.3413879459999998,13.5496112895
1949-04-07,51.1827009525,3.4263384869999998,14.12076209349
1949-04-08,56.00364415425,3.482972181,14.864079327239999
1949-04-09,60.16876917948,3.539605875,20.00358705774
1949-04-10,60.36330591837,3.5962395689999997,28.142132054010002
1949-04-11,67.55238703473,3.907724886,26.714679796739997
1949-04-12,87.56871667362,4.2486597238799995,26.286245901629997
1949-04-13,69.66539015787,5.9606962935,22.57447359687
1949-04-14,70.03832303286,8.50694717574,20.86130435337
1949-04-15,72.179643003,10.392282848999999,21.575172066239997
1949-04-16,81.85919081301,8.6791136055,18.434267397
1949-04-17,93.05170775823,11.64643600263,17.43496586637
1949-04-18,119.00523070761,12.58570581762,23.85807627138
1949-04-19,130.76861528835,9.01410190551,26.824265994629997
1949-04-20,126.48569217960001,10.21190453361,36.37893650937
1949-04-21,115.54915953125999,15.614475772739999,30.097410339360003
1949-04-22,94.99141177773001,15.96022447461,28.38424109586
1949-04-23,83.02527857247,13.16138731713,26.35109148126
1949-04-24,81.39705986997001,11.93328566274,26.378275654379998
1949-04-25,76.11455206212,12.875953499369999,25.67148715326
1949-04-26,72.88784734647001,13.50373799736,25.67148715326
1949-04-27,77.59892118186,13.07530410225,26.52807177501
1949-04-28,97.15736740476,15.27212509251,27.87085665975
1949-04-29,123.16893989049,17.183512265010002,30.012459798360002
1949-04-30,113.51742575901,19.381749097620002,30.29789361612
1949-05-01,106.23659805836999,15.81156102786,29.24082571761
1949-05-02,98.52507111486,17.35228067313,29.44130899437
1949-05-03,97.35586850223,16.72477934361,28.15629047751
1949-05-04,81.22347759786,16.58177926626,25.58653661226
1949-05-05,70.23059442399,12.58457314374,23.01678274701
1949-05-06,76.39998587987999,13.58387467437,22.44591511149
1949-05-07,90.38001324377998,15.781828338510001,25.01566897674
1949-05-08,119.50445672022,15.52357869387,28.013573568629997
1949-05-09,184.14813723110998,21.858340536239997,35.86555207326
1949-05-10,259.69408700547,28.307502440489998,49.79998931349
1949-05-11,259.03911833435996,39.13982909187,63.57726805287
1949-05-12,290.3612323064701,42.96968264862,74.14171733162999
1949-05-13,305.87518327235995,59.95865817474,82.27941282249
1949-05-14,322.99753114785,72.55144320411,84.70644977886
1949-05-15,313.57623298248,54.82962767763,82.27941282249
1949-05-16,286.03073689476,52.81205232888,81.85097892738
1949-05-17,255.85347304685996,46.00439914161,75.97891436499
1949-05-18,187.84943230248,34.22798881125,62.064582086129995
1949-05-19,165.73878865947,29.987540972999998,52.784868155759995
1949-05-20,151.61321270199,28.438326273629997,54.07809855825
1949-05-21,147.24279053601,30.02293703175,44.56958450412
1949-05-22,149.26517974875,29.451786227759996,46.137488322509995
1949-05-23,155.97145862376,29.16635241,43.85231876961
1949-05-24,158.2571945136,30.01585782,48.846561075
1949-05-25,161.56318640085001,32.28601944399,53.04566631663
1949-05-26,201.75272101100998,35.69819950749,53.010270257879995
1949-05-27,185.47053398601,39.66255808749,54.43800568362
1949-05-28,177.40051575948,35.81741343336,54.29528877474
1949-05-29,160.29940551924,34.11132340161,51.439817923259994
1949-05-30,146.62236841824,31.42235561049,49.013064135360004
1949-05-31,124.60715254962,30.151495517129998,44.301707131499995
1949-06-01,128.3546040816,26.168164649639998,39.30491630988
1949-06-02,108.25757142875999,24.19079922363,42.09412573938
1949-06-03,104.460848583,25.05219770937,39.0630904365
1949-06-04,131.03026295463,27.748244712239998,39.34852425426
1949-06-05,175.16688286811998,38.25832564476,47.77165356288
1949-06-06,210.27382661024998,46.20601509225,56.33749978038
1949-06-07,217.56541471275,53.14024458561,65.47449680187
1949-06-08,175.07853430548,45.44032754937,60.334989071369996
1949-06-09,140.62372754976,36.35515035789,54.76704744576
1949-06-10,157.67556647622,36.2314057365,53.625029006249996
1949-06-11,166.15646215272,39.36268267776,55.89972132576
1949-06-12,144.88428034938,36.38375037336,52.44987985575
1949-06-13,117.27054066039,31.7007102165,48.72847982301
1949-06-14,113.68053079773,31.853054853360003,47.29139983776
1949-06-15,117.16576832649,31.42462095825,47.43439991511
1949-06-16,121.2385804305,28.58812239426,40.31497824237
1949-06-17,88.93840256301,23.62446228363,36.19827502551
1949-06-18,82.54813970052,20.22870599139,32.495847280259994
1949-06-19,76.69504742562,20.208884198489997,30.782678036759997
1949-06-20,59.666145145230004,21.71788897512,28.54819563999
1949-06-21,65.36122941386999,23.65532764686,28.43606092587
1949-06-22,92.75692938096002,23.36253144888,32.8617009435
1949-06-23,100.23229382049,24.354753767760002,35.43145480875
1949-06-24,102.05051856636,25.203126503879997,36.99256258386
1949-06-25,92.86991360049,23.92660304112,36.564128688749996
1949-06-26,81.59131344039,21.37100759937,32.99507329287
1949-06-27,76.02365498325,18.789360658379998,29.140300910759997
1949-06-28,70.55029162662,18.25728710325,26.42783013663
1949-06-29,68.06180711226,16.44019503126,25.85667933264
1949-06-30,58.43634448002,14.14199972874,17.87019580476
1949-07-01,61.941686970149995,15.28769935836,18.80012106024
1949-07-02,55.730952917639996,16.99832008563,21.08415793926
1949-07-03,54.28679372064,19.529279870489997,22.79732718276
1949-07-04,64.70880925899,19.06205189499,25.08164723025
1949-07-05,69.49662174974999,19.113871725,26.79481647375
1949-07-06,60.569735733,18.54272092101,27.2549652375
1949-07-07,53.20140897513,17.60826497001,24.31482701349
1949-07-08,57.187854695789994,18.12759594399,24.60026083125
1949-07-09,58.330156303769996,17.72408087424,28.15997166762
1949-07-10,68.59501334126999,19.54230562011,31.38441103551
1949-07-11,72.13971624873,19.28264013312,31.517783384879998
1949-07-12,66.85749160935,18.68572099836,31.517783384879998
1949-07-13,65.43485321607,18.632485326,30.37576494537
1949-07-14,59.08649928713999,18.179415774,37.293287499
1949-07-15,70.03435867427999,18.632485326,28.401797541
1949-07-16,69.18400375887,17.55644514,25.921808080739996
1949-07-17,54.92845347366,13.57679546262,24.805557972
1949-07-18,52.7656126998,11.44821807363,24.182587337999998
1949-07-19,42.47555366847,12.4452542565,21.16571045862
1949-07-20,39.62036598546,11.159103065759998,18.453239684489997
1949-07-21,39.20325882915,11.01157229289,18.310239607139998
1949-07-22,39.46575600084,10.57974037614,16.88278734987
1949-07-23,30.904440478860003,11.72090931024,17.02550425875
1949-07-24,30.910953353669996,13.7195123715,19.461885774629998
1949-07-25,32.33812244247,12.14566201524,14.24110869324
1949-07-26,42.200880252569995,5.86272000288,14.43564543213
1949-07-27,31.93800539436,6.00430423788,17.707373934510002
1949-07-28,28.53970058589,6.43387080687,18.545269437239998
1949-07-29,31.39517143737,8.431341194249999,14.68341784338
1949-07-30,28.66344520728,8.288624285369998,15.81127785939
1949-07-31,31.37365063365,7.29045542862,16.80123483051
1949-08-01,29.655950694629997,7.863871580369999,14.814524844989998
1949-08-02,32.22570455988,8.292022307009999,16.8060486945
1949-08-03,25.66327526763,6.00798542799,14.69276240289
1949-08-04,30.80278299813,6.57658771575,10.0383222615
1949-08-05,27.80459523777,5.86272000288,10.16688074688
1949-08-06,20.52376753713,5.8638526767600005,14.407328585130001
1949-08-07,15.819772913489999,4.29226766826,15.397285556249999
1949-08-08,18.305708911619995,5.00613538113,16.37308410387
1949-08-09,20.252492142869993,6.72043729851,14.65028713239
1949-08-10,19.824058247759993,4.01023187214,11.67843403974
1949-08-11,15.974099729639999,5.295250389,9.86728850562
1949-08-12,17.54455206426,4.72523225889,11.45642995926
1949-08-13,13.83731045502,4.488220249499999,10.74256224639
