,C1,C2,G
1949-01-01,88.06539416999999,6.51287481,111.28520870999999
1949-01-02,85.23370947,6.22970634,108.73669248
1949-01-03,82.40202477,5.94653787,103.63966002
1949-01-04,79.2871716,5.94653787,98.54262756
1949-01-05,76.4554869,5.6633694,98.54262756
1949-01-06,76.4554869,5.6633694,101.09114379
1949-01-07,67.11092739,5.38020093,103.63966002
1949-01-08,64.84557963,5.38020093,96.2772798
1949-01-09,69.65944362,5.097032459999999,91.46341581
1949-01-10,67.96043279999999,5.097032459999999,77.58816078
1949-01-11,67.96043279999999,4.81386399,69.09310667999999
1949-01-12,67.96043279999999,4.53069552,61.16438952
1949-01-13,67.96043279999999,3.96435858,57.20003094
1949-01-14,67.96043279999999,3.39802164,61.16438952
1949-01-15,65.1287481,2.8316847,55.50102012
1949-01-16,48.1386399,2.5485162299999997,67.11092739
1949-01-17,31.1485317,2.26534776,61.16438952
1949-01-18,31.1485317,1.98217929,57.20003094
1949-01-19,25.76833077,1.69901082,51.53666154
1949-01-20,22.93664607,1.69901082,41.34259662
1949-01-21,23.219814539999998,1.69901082,44.45744979
1949-01-22,22.6534776,1.69901082,48.1386399
1949-01-23,19.8217929,1.69901082,44.45744979
1949-01-24,18.97228749,1.69901082,33.980216399999996
1949-01-25,20.95446678,1.557426585,33.41387946
1949-01-26,21.80397219,1.557426585,38.79408039
1949-01-27,20.95446678,1.557426585,42.19210203
1949-01-28,20.104961369999998,1.557426585,42.75843897
1949-01-29,20.104961369999998,1.557426585,44.45744979
1949-01-30,19.53862443,1.557426585,42.75843897
1949-01-31,19.25545596,1.557426585,44.45744979
1949-02-01,18.68911902,1.557426585,44.45744979
1949-02-02,18.68911902,1.557426585,39.926754269999996
1949-02-03,19.8217929,1.557426585,41.62576509
1949-02-04,20.95446678,1.557426585,42.4752705
1949-02-05,19.8217929,1.557426585,39.926754269999996
1949-02-06,19.8217929,1.41584235,42.4752705
1949-02-07,20.388129839999998,1.41584235,42.75843897
1949-02-08,21.23763525,1.41584235,39.6435858
1949-02-09,20.95446678,1.41584235,42.75843897
1949-02-10,16.990108199999998,1.41584235,44.45744979
1949-02-11,20.104961369999998,1.41584235,42.4752705
1949-02-12,18.68911902,1.41584235,36.52873263
1949-02-13,17.83961361,1.41584235,30.86536323
1949-02-14,20.104961369999998,1.41584235,32.28120558
1949-02-15,20.388129839999998,2.8316847,33.41387946
1949-02-16,25.20199383,7.07921175,56.06735706
1949-02-17,45.3069552,19.8217929,135.35452866
1949-02-18,48.1386399,11.949709433999999,103.63966002
1949-02-19,45.3069552,10.47723339,96.2772798
1949-02-20,42.4752705,9.06139104,88.91489958
1949-02-21,41.05942815,7.900400313,79.85350853999999
1949-02-22,36.8119011,14.300007735,82.1188563
1949-02-23,34.82972181,16.168919637,86.64955182
1949-02-24,34.82972181,16.508721801,82.1188563
1949-02-25,37.37823804,17.018425047,84.38420406
1949-02-26,40.776259679999995,18.236049468,86.64955182
1949-02-27,42.75843897,19.708525511999998,86.64955182
1949-02-28,44.74061826,20.274862452,88.91489958
1949-03-01,47.28913449,21.181001556,91.46341581
1949-03-02,50.12081919,21.181001556,91.46341581
1949-03-03,67.11092739,21.011100474,101.09114379
1949-03-04,77.02182384,23.616250398,116.38224117
1949-03-05,88.06539416999999,26.391301404,127.14264303
1949-03-06,99.95846990999999,28.316847,149.51295216
1949-03-07,109.30302942,28.090312223999998,161.4060279
1949-03-08,122.61194751,27.637242672,179.81197845
1949-03-09,103.07332308,25.598429688,161.4060279
1949-03-10,94.01193203999999,23.219814539999998,149.51295216
1949-03-11,88.06539416999999,21.747338495999998,135.35452866
1949-03-12,88.06539416999999,21.181001556,129.69115926
1949-03-13,94.01193203999999,21.181001556,132.52284396
1949-03-14,88.06539416999999,20.274862452,132.52284396
1949-03-15,82.40202477,18.066148386,127.14264303
1949-03-16,82.40202477,17.698029375,118.93075739999999
1949-03-17,88.06539416999999,18.632485326,121.7624421
1949-03-18,99.95846990999999,22.115457507,138.18621335999998
1949-03-19,136.48720254,30.86536323,179.81197845
1949-03-20,143.28324582,34.546553339999996,205.86347769
1949-03-21,136.48720254,32.28120558,199.06743441
1949-03-22,129.40799078999999,29.732689349999998,179.81197845
1949-03-23,129.40799078999999,28.090312223999998,167.35256576999998
1949-03-24,129.40799078999999,27.18417312,161.4060279
1949-03-25,129.40799078999999,27.18417312,167.35256576999998
1949-03-26,119.21392587,26.589519333,155.45949002999998
1949-03-27,109.30302942,25.400211758999998,143.84958276
1949-03-28,96.84361674,23.418032469,132.52284396
1949-03-29,94.01193203999999,22.851695529,121.7624421
1949-03-30,91.18024734,22.313675436,108.73669248
1949-03-31,88.06539416999999,21.577437414,101.09114379
1949-04-01,96.84361674,22.483576518,101.09114379
1949-04-02,103.07332308,22.851695529,106.18817625
1949-04-03,106.18817625,23.219814539999998,108.73669248
1949-04-04,119.21392587,28.316847,116.38224117
1949-04-05,136.48720254,41.90893356,135.35452866
1949-04-06,165.37038648,48.70497684,179.81197845
1949-04-07,173.29910364,54.08517777,199.06743441
1949-04-08,181.2278208,56.06735706,205.86347769
1949-04-09,177.26346222,56.06735706,205.86347769
1949-04-10,173.29910364,68.52676973999999,212.65952097
1949-04-11,197.65159205999998,80.13667701,233.61398775
1949-04-12,205.58030922,87.49905722999999,263.34667709999997
1949-04-13,189.15653796,80.13667701,240.97636796999998
1949-04-14,161.68919637,70.7921175,205.86347769
1949-04-15,158.00800626,73.05746526,186.04168479
1949-04-16,161.68919637,84.950541,192.5545596
1949-04-17,185.19217938,103.07332308,219.45556424999998
1949-04-18,205.58030922,121.7624421,263.34667709999997
1949-04-19,189.15653796,127.4258115,270.99222578999996
1949-04-20,193.40406500999998,113.83372494,255.70112841
1949-04-21,177.26346222,100.24163838,219.45556424999998
1949-04-22,161.68919637,90.04757346,186.04168479
1949-04-23,143.28324582,82.68519324,149.51295216
1949-04-24,136.48720254,77.58816078,132.52284396
1949-04-25,132.80601243,66.26142198,118.93075739999999
1949-04-26,126.00996914999999,63.99607422,101.09114379
1949-04-27,126.00996914999999,77.58816078,94.01193203999999
1949-04-28,143.28324582,82.68519324,108.73669248
1949-04-29,158.00800626,90.04757346,132.52284396
1949-04-30,146.96443593,80.13667701,127.14264303
1949-05-01,129.40799078999999,73.05746526,98.54262756
1949-05-02,119.21392587,70.7921175,86.64955182
